,director_name,gross
115,Ben Affleck,228192683.0
867,Keenen Ivory Wayans,228074122.0
1549,Tobe Hooper,227828535.0
177,Bruce Beresford,223328527.0
591,Hugh Wilson,222833135.0
395,Don Hall,222487711.0
1516,Tarsem Singh,221994604.0
1606,Victor Fleming,220857890.0
1625,Wes Anderson,220077223.0
630,James L. Brooks,219894415.0
1156,Nora Ephron,219871202.0
947,Luc Besson,219349473.0
467,Frank Darabont,218531517.0
1455,Stephen Frears,218276705.0
900,Kirk De Micco,217271514.0
963,Malcolm D. Lee,216980749.0
991,Mark Osborne,216734173.0
618,James Bobin,216651439.0
1272,Randal Kleiser,216153160.0
771,John Pasquin,216076434.0
1128,Neil Jordan,216026797.0
1108,Mimi Leder,215224298.0
622,James DeMonaco,214788010.0
1361,Roger Michell,213789872.0
921,Lee Daniels,211705228.0
128,Bibo Bergeron,211564683.0
1105,Mike Nichols,210893801.0
521,George P. Cosmatos,209075037.0
806,Jonathan Frakes,205872154.0
1533,Thor Freudenthal,205583234.0
893,Kevin Smith,205538086.0
1139,Nick Cassavetes,204183029.0
1583,Tony Gilroy,202750534.0
877,Kenny Ortega,201915538.0
435,Eric Brevig,201871128.0
1125,Nathan Greno,200807262.0
1517,Tate Taylor,200219527.0
1631,Will Gluck,200115480.0
1107,Milos Forman,198180635.0
872,Ken Kwapis,196867623.0
173,Brian Robbins,196830826.0
1274,Randall Wallace,194696074.0
888,Kevin Lima,194648436.0
1220,Peter Chelsom,194135857.0
429,Elizabeth Banks,192265151.0
956,Luke Greenfield,191767419.0
1518,Taylor Hackford,191130423.0
931,Les Mayfield,190873104.0
567,Harold Becker,189959639.0
1286,Rich Moore,189412677.0
1400,Sam Weisman,188628829.0
1531,Thomas Carter,188419331.0
769,John Moore,188109652.0
690,Jesse Dylan,188090535.0
1342,Robert Redford,187402264.0
26,Albert Hughes,185919323.0
325,David Bowers,185701204.0
1459,Stephen Hopkins,185612013.0
104,Baltasar Kormákur,185309865.0
1636,William Cottrell,184925485.0
502,Gary Trousdale,184154642.0
1626,Wes Ball,184101193.0
1623,Wayne Wang,183474473.0
357,David Silverman,183132370.0
513,George Clooney,181694587.0
391,Dominic Sena,181684823.0
901,Kirk Jones,181444109.0
1257,Pierre Morel,180164086.0
1559,Tom Dey,179233938.0
65,Andrzej Bartkowiak,179109500.0
1408,Scott Hicks,177916532.0
833,Josh Trank,176800938.0
784,John Whitesell,175741905.0
141,Boaz Yakin,175420607.0
1221,Peter Faiman,174635000.0
1228,Peter Hyams,174185180.0
1255,Phyllida Lloyd,173663646.0
1547,Timur Bekmambetov,173572335.0
1509,Sylvester Stallone,173250742.0
1064,Michael Moore,171560187.0
341,David Lean,171322000.0
503,Gary Winick,170663373.0
892,Kevin Rodney Sullivan,170590639.0
1084,Mick Jackson,169419832.0
1299,Richard Lester,168715005.0
722,Joe Roth,167309575.0
1088,Mikael Håfström,166154719.0
1399,Sam Taylor-Johnson,166147885.0
683,Jennifer Yuh Nelson,165230261.0
788,Jon Amiel,164669328.0
1203,Paul Tibbitt,162495848.0
1300,Richard Linklater,161313963.0
1362,Roger Spottiswoode,160903457.0
640,James Wong,160659684.0
580,Herbert Ross,160000000.0
754,John Hamburg,159224785.0
613,Jake Kasdan,159133818.0
544,Greg Mottola,158834611.0
1376,Ruben Fleischer,158640928.0
577,Henry Joost,157892649.0
1617,Walt Becker,156364192.0
1080,Michel Gondry,155770239.0
1378,Rupert Sanders,155111815.0
361,David Twohy,154353903.0
1317,Rob Bowman,154211147.0
1137,Nicholas Meyer,153788996.0
526,George Tillman Jr.,152963176.0
260,Clark Johnson,152922576.0
935,Lewis Gilbert,152600000.0
1524,Terry Gilliam,151570771.0
494,Gary Fleder,151506691.0
556,Guy Hamilton,151300000.0
605,J.B. Rogers,150613528.0
1512,Takashi Shimizu,149319710.0
1568,Tom McGrath,148337537.0
1442,Spike Jonze,147883036.0
116,Ben Falcone,147552910.0
1225,Peter Hewitt,147395744.0
1057,Michael Lembeck,147280134.0
864,Kathryn Bigelow,146589393.0
460,Florian Henckel von Donnersmarck,146546971.0
106,Barbra Streisand,146440027.0
329,David Dobkin,146401042.0
831,Josh Gordon,145911998.0
18,Alan J. Pakula,143645221.0
31,Alessandro Carloni,143523463.0
142,Bob Clark,141751281.0
1096,Mike Gabriel,141600000.0
813,Jonathan Lynn,140708850.0
304,Daniel Myrick,140530114.0
534,Glenn Ficarra,140127358.0
210,Charles Martin Smith,138929089.0
1234,Peter Lord,137845041.0
438,Eric Leighton,137748063.0
354,David S. Goyer,137673719.0
1463,Stephen Norrington,136463665.0
158,Breck Eisner,135101920.0
998,Mark Steven Johnson,134055280.0
1202,Paul Thomas Anderson,131316420.0
1620,Warren Beatty,130264560.0
1195,Paul Haggis,130244044.0
