director_name,num_critic_for_reviews,duration,director_facebook_likes,actor_3_facebook_likes,actor_1_facebook_likes,gross,num_voted_users,cast_total_facebook_likes,facenumber_in_poster,num_user_for_reviews,budget,title_year,actor_2_facebook_likes,imdb_score,aspect_ratio,movie_facebook_likes
Michael Wadleigh,53.0,215.0,14.0,136.0,262.0,13300000.0,12631,778,0.0,63.0,600000.0,1970.0,227.0,8.1,2.2,0
Jon Gunn,69.0,316.0,48.0,1105.0,2688.0,13242477.0,9710,8196,6.0,163.0,2901100.0,6019.0,1137.0,18.1,3.7,13468
Fred Savage,52.0,89.0,0.0,405.0,555.0,13235267.0,12339,1752,2.0,32.0,6000000.0,2007.0,484.0,2.9,1.85,256
Steve Rash,24.0,187.0,30.0,941.0,1574.0,13192814.0,4931,5052,2.0,68.0,28000000.0,3980.0,1200.0,10.5,3.63,578
François Ozon,288.0,213.0,682.0,584.0,1807.0,13181930.0,58725,4932,1.0,450.0,8000000.0,4005.0,1199.0,13.9,3.7,0
Damien Chazelle,535.0,107.0,141.0,535.0,24000.0,13092000.0,399138,26495,0.0,731.0,3300000.0,2014.0,970.0,8.5,2.4,129000
Tony Bill,123.0,140.0,23.0,579.0,11000.0,13082288.0,35565,12634,1.0,247.0,60000000.0,2006.0,779.0,6.6,2.35,2000
Drew Barrymore,230.0,111.0,0.0,727.0,796.0,13034417.0,55665,2633,1.0,118.0,15000000.0,2009.0,787.0,6.9,2.35,10000
Michael Dinner,53.0,88.0,12.0,249.0,327.0,13019253.0,3914,1509,4.0,47.0,23000000.0,2000.0,281.0,5.6,1.85,153
Fred Walton,96.0,89.0,17.0,85.0,690.0,12947763.0,10624,1160,0.0,125.0,5000000.0,1986.0,190.0,6.2,2.35,0
Pedro Almodóvar,232.0,121.0,0.0,82.0,148.0,12899702.0,76681,448,1.0,228.0,0.0,2006.0,114.0,7.6,2.35,0
